DATE,Seasonality_in_North,Seasonality_in_Central,Seasonality_in_South,Export_volume,Import_Volume,Location,Price
3/1/2023 0:00,0,0,0,900000,79196,BDH,8950
3/1/2023 0:00,0,0,0,900000,79196,HNI,9000
3/1/2023 0:00,0,0,0,900000,79196,HDG,8950
3/8/2023 0:00,0,0,0,900000,79196,BDH,8800
3/8/2023 0:00,0,0,0,900000,79196,HNI,9000
3/8/2023 0:00,0,0,0,900000,79196,HDG,8950
3/15/2023 0:00,0,0,0,900000,79196,BDH,8500
3/15/2023 0:00,0,0,0,900000,79196,HNI,8800
3/15/2023 0:00,0,0,0,900000,79196,HDG,8750
3/22/2023 0:00,0,0,0,900000,79196,BDH,8300
3/22/2023 0:00,0,0,0,900000,79196,HNI,8500
3/22/2023 0:00,0,0,0,900000,79196,HDG,8450
3/29/2023 0:00,0,0,0,900000,79196,BDH,8700
3/29/2023 0:00,0,0,0,900000,79196,HNI,8850
3/29/2023 0:00,0,0,0,900000,79196,HDG,8800
4/5/2023 0:00,0,0,1,1100000,85967.52,BDH,8350
4/5/2023 0:00,0,0,1,1100000,85967.52,HNI,8500
4/5/2023 0:00,0,0,1,1100000,85967.52,HDG,8450
4/11/2023 0:00,0,0,1,1100000,85967.52,BDH,8050
4/11/2023 0:00,0,0,1,1100000,85967.52,HNI,8400
4/11/2023 0:00,0,0,1,1100000,85967.52,HDG,8300
4/12/2023 0:00,0,0,1,1100000,85967.52,BDH,8050
4/12/2023 0:00,0,0,1,1100000,85967.52,HNI,8400
4/12/2023 0:00,0,0,1,1100000,85967.52,HDG,8350
4/19/2023 0:00,0,0,1,1100000,85967.52,BDH,8200
4/19/2023 0:00,0,0,1,1100000,85967.52,HNI,8250
4/19/2023 0:00,0,0,1,1100000,85967.52,HDG,8200
4/26/2023 0:00,0,0,1,1100000,85967.52,BDH,8200
4/26/2023 0:00,0,0,1,1100000,85967.52,HNI,8400
4/26/2023 0:00,0,0,1,1100000,85967.52,HDG,8350
5/3/2023 0:00,1,1,0,789000,102328.666,BDH,8200
5/3/2023 0:00,1,1,0,789000,102328.666,HNI,8300
5/3/2023 0:00,1,1,0,789000,102328.666,HDG,8250
5/10/2023 0:00,1,1,0,789000,102328.666,BDH,8250
5/10/2023 0:00,1,1,0,789000,102328.666,HNI,8450
5/10/2023 0:00,1,1,0,789000,102328.666,HDG,8400
5/17/2023 0:00,1,1,0,789000,102328.666,BDH,8350
5/17/2023 0:00,1,1,0,789000,102328.666,HNI,8500
5/17/2023 0:00,1,1,0,789000,102328.666,HDG,8450
5/24/2023 0:00,1,1,0,789000,102328.666,BDH,8400
5/24/2023 0:00,1,1,0,789000,102328.666,HNI,8500
5/24/2023 0:00,1,1,0,789000,102328.666,HDG,8450
5/31/2023 0:00,1,1,0,789000,102328.666,BDH,8400
5/31/2023 0:00,1,1,0,789000,102328.666,HNI,8300
5/31/2023 0:00,1,1,0,789000,102328.666,HDG,8300
6/7/2023 0:00,0,0,0,650000,59141.521,BDH,8450
6/7/2023 0:00,0,0,0,650000,59141.521,HNI,8200
6/7/2023 0:00,0,0,0,650000,59141.521,HDG,8300
6/14/2023 0:00,0,0,0,650000,59141.521,BDH,8450
6/14/2023 0:00,0,0,0,650000,59141.521,HNI,8200
6/14/2023 0:00,0,0,0,650000,59141.521,HDG,8300
6/21/2023 0:00,0,0,0,650000,59141.521,BDH,8500
6/21/2023 0:00,0,0,0,650000,59141.521,HNI,8400
6/21/2023 0:00,0,0,0,650000,59141.521,HDG,8300
6/28/2023 0:00,0,0,0,650000,59141.521,BDH,8450
6/28/2023 0:00,0,0,0,650000,59141.521,HNI,8500
6/28/2023 0:00,0,0,0,650000,59141.521,HDG,8300
7/5/2023 0:00,0,0,0,656000,45151.605,BDH,8500
7/5/2023 0:00,0,0,0,656000,45151.605,HNI,8600
7/5/2023 0:00,0,0,0,656000,45151.605,HDG,8550
7/12/2023 0:00,0,0,0,656000,45151.605,BDH,8450
7/12/2023 0:00,0,0,0,656000,45151.605,HNI,8600
7/12/2023 0:00,0,0,0,656000,45151.605,HDG,8550
7/19/2023 0:00,0,0,0,656000,45151.605,BDH,8200
7/19/2023 0:00,0,0,0,656000,45151.605,HNI,8400
7/19/2023 0:00,0,0,0,656000,45151.605,HDG,8350
7/26/2023 0:00,0,0,0,656000,45151.605,BDH,8250
7/26/2023 0:00,0,0,0,656000,45151.605,HNI,8400
7/26/2023 0:00,0,0,0,656000,45151.605,HDG,8350
8/2/2023 0:00,0,1,1,921000,64941.81,BDH,8450
8/2/2023 0:00,0,1,1,921000,64941.81,HNI,8500
8/2/2023 0:00,0,1,1,921000,64941.81,HDG,8450
8/9/2023 0:00,0,1,1,921000,64941.81,BDH,8450
8/9/2023 0:00,0,1,1,921000,64941.81,HNI,8400
8/9/2023 0:00,0,1,1,921000,64941.81,HDG,8350
8/16/2023 0:00,0,1,1,921000,64941.81,BDH,8350
8/16/2023 0:00,0,1,1,921000,64941.81,HNI,8450
8/16/2023 0:00,0,1,1,921000,64941.81,HDG,8400
8/23/2023 0:00,0,1,1,921000,64941.81,BDH,8300
8/23/2023 0:00,0,1,1,921000,64941.81,HNI,8200
8/23/2023 0:00,0,1,1,921000,64941.81,HDG,8150
8/30/2023 0:00,0,1,1,921000,64941.81,BDH,8300
8/30/2023 0:00,0,1,1,921000,64941.81,HNI,8300
8/30/2023 0:00,0,1,1,921000,64941.81,HDG,8250
